ProductKey,CustomerKey,OrderDateKey,ShipDateKey,SalesOrderNumber,AddressLine1,AddressLine2,City,StateProvinceName,EnglishCountryRegionName
222,11997,20070826,20070902,SO53133,6828 Willow Pass Road,NULL,Coffs Harbour,New South Wales,Australia
222,12677,20080324,20080331,SO66827,8228 Seal Way,NULL,Coffs Harbour,New South Wales,Australia
222,13620,20080516,20080523,SO70750,9167 Jam Way,NULL,Coffs Harbour,New South Wales,Australia
222,14316,20071208,20071215,SO59629,2786 Class Avenue,NULL,Coffs Harbour,New South Wales,Australia
222,15730,20080430,20080507,SO69315,2743 Veale Ave,NULL,Coffs Harbour,New South Wales,Australia
222,16743,20070930,20071007,SO55225,3726 Northridge Drive,NULL,Coffs Harbour,New South Wales,Australia
222,18206,20071024,20071031,SO56603,1480 Oliveria Road,NULL,Coffs Harbour,New South Wales,Australia
222,20429,20080229,20080307,SO65138,3965 Stony Hill Circle,NULL,Coffs Harbour,New South Wales,Australia
222,22004,20080501,20080508,SO69629,3030 Blackburn Ct.,NULL,Coffs Harbour,New South Wales,Australia
222,23419,20080501,20080508,SO69571,238 Montego,NULL,Coffs Harbour,New South Wales,Australia
222,26653,20080603,20080610,SO72104,377 Trees Drive,NULL,Coffs Harbour,New South Wales,Australia
222,27874,20070912,20070919,SO54187,P .o. Box 2162,NULL,Coffs Harbour,New South Wales,Australia
222,27701,20080622,20080629,SO73566,3613 Eastgate Lane,NULL,Darlinghurst,New South Wales,Australia
222,18264,20080324,20080331,SO66775,8669 Rotherham Dr.,NULL,Darlinghurst,New South Wales,Australia
222,18484,20070809,20070816,SO52278,4262 Monterey Ave.,NULL,Darlinghurst,New South Wales,Australia
222,17048,20071121,20071128,SO58336,7065 Rock Creek Way,NULL,Darlinghurst,New South Wales,Australia
222,15735,20080310,20080317,SO65886,6966 Eaker Way,NULL,Darlinghurst,New South Wales,Australia
222,15238,20071213,20071220,SO59918,8983 Haynes Court,NULL,Darlinghurst,New South Wales,Australia
222,12997,20080106,20080113,SO61542,5666 Hazelnut Lane,NULL,Darlinghurst,New South Wales,Australia
222,13104,20080528,20080604,SO71544,5617 Landing Dr,NULL,Darlinghurst,New South Wales,Australia
222,12038,20080113,20080120,SO61976,1314 Skyline Dr.,NULL,Darlinghurst,New South Wales,Australia
222,13034,20080312,20080319,SO66029,3029 Delta View Ln.,NULL,Goulburn,New South Wales,Australia
222,12684,20080421,20080428,SO68736,7811 Woodsworth Lane,NULL,Goulburn,New South Wales,Australia
222,15212,20080623,20080630,SO73584,5979 La Corte Bonita,NULL,Goulburn,New South Wales,Australia
222,18267,20070821,20070828,SO52889,2951 Dublin,NULL,Goulburn,New South Wales,Australia
222,27714,20080614,20080621,SO72917,4456 Eastgate,NULL,Goulburn,New South Wales,Australia
222,26179,20070927,20071004,SO55039,872 Mark Twain Dr,NULL,Goulburn,New South Wales,Australia
222,26191,20080416,20080423,SO68386,6506 Gentrytown Drive,NULL,Goulburn,New South Wales,Australia
222,28934,20080218,20080225,SO64384,1942 Rock Island Drive,NULL,Goulburn,New South Wales,Australia
222,23123,20080506,20080513,SO69948,209 Mobile Lane,NULL,Goulburn,New South Wales,Australia
